Modelo,Acuracia,Precisao,Sensibilidade,F1,AUC
SVM_Linear,0.8580246913580247,0.8702115494568324,0.8580246913580246,0.8572148890387642,0.9389574759945131
SVM_Radial,0.5370370370370371,0.8062015503875969,0.5370370370370371,0.5025242804362735,0.8884887974394147
SVM_Poly,0.4691358024691358,0.4619047619047619,0.46913580246913583,0.37854946644962917,0.8608253315043438
MLP,0.9197530864197531,0.9353233830845772,0.9197530864197532,0.9185732927359721,1.0
Adaboost,0.7098765432098766,0.7086567985939055,0.7098765432098766,0.7092287205608535,0.8874028349336992
DecisionTree,0.6111111111111112,0.6052719320180923,0.6111111111111112,0.6051221858189507,0.7083333333333334
RandomForest,0.8333333333333334,0.8455614973262032,0.8333333333333334,0.832134493141519,0.9459019204389575
GradientBoosting,0.808641975308642,0.8044159544159544,0.808641975308642,0.8019174889319173,0.9243255601280292
LogisticRegression,0.8703703703703703,0.88125,0.8703703703703703,0.8697305416579167,0.9531893004115227
KNN,0.845679012345679,0.861025641025641,0.8456790123456789,0.8491773708721874,0.9156092821216277
ExtraTrees,0.7839506172839507,0.8080050031269543,0.7839506172839507,0.7787862345648563,0.9615340649291267
NaiveBayes,0.8024691358024691,0.8485653922169972,0.8024691358024691,0.7739676842265094,0.9867969821673525
Bagging,0.6728395061728395,0.6718215811965811,0.6728395061728395,0.6580188280260478,0.853595107453132
SGD,0.9197530864197531,0.9353233830845772,0.9197530864197532,0.9185732927359721,0.5
